Cabang;Kategori;Jenis;Golongan;Max Age
Fahm Al Qur'an;Beregu;Putra;Fahm Al Qur'an Beregu Putra;18
Fahm Al Qur'an;Beregu;Putri;Fahm Al Qur'an Beregu Putri;18
Hafalan Al Qur'an;1 Juz + Tilawah;Putra;Hafalan Al Qur'an 1 Juz + Tilawah Putra;15
Hafalan Al Qur'an;1 Juz + Tilawah;Putri;Hafalan Al Qur'an 1 Juz + Tilawah Putri;15
Hafalan Al Qur'an;1 Juz Non Tilawah;Putra;Hafalan Al Qur'an 1 Juz Non Tilawah Putra;15
Hafalan Al Qur'an;1 Juz Non Tilawah;Putri;Hafalan Al Qur'an 1 Juz Non Tilawah Putri;15
Hafalan Al Qur'an;10 Juz;Putra;Hafalan Al Qur'an 10 Juz Putra;20
Hafalan Al Qur'an;10 Juz;Putri;Hafalan Al Qur'an 10 Juz Putri;20
Hafalan Al Qur'an;20 Juz;Putra;Hafalan Al Qur'an 20 Juz Putra;24
Hafalan Al Qur'an;20 Juz;Putri;Hafalan Al Qur'an 20 Juz Putri;24
Hafalan Al Qur'an;30 Juz;Putra;Hafalan Al Qur'an 30 Juz Putra;22
Hafalan Al Qur'an;30 Juz;Putri;Hafalan Al Qur'an 30 Juz Putri;22
Hafalan Al Qur'an;5 Juz + Tilawah;Putra;Hafalan Al Qur'an 5 Juz + Tilawah Putra;20
Hafalan Al Qur'an;5 Juz + Tilawah;Putri;Hafalan Al Qur'an 5 Juz + Tilawah Putri;20
Hafalan Al Qur'an;5 Juz Non Tilawah;Putra;Hafalan Al Qur'an 5 Juz Non Tilawah Putra;20
Hafalan Al Qur'an;5 Juz Non Tilawah;Putri;Hafalan Al Qur'an 5 Juz Non Tilawah Putri;20
Karya Tulis Ilmiah Al Qur'an (KTIQ);Umum;Putra;Karya Tulis Ilmiah Al Qur'an (KTIQ) Umum Putra;24
Karya Tulis Ilmiah Al Qur'an (KTIQ);Umum;Putri;Karya Tulis Ilmiah Al Qur'an (KTIQ) Umum Putri;24
Karya Tulis Ilmiah Hadits (KTIH);Umum;Putra;Karya Tulis Ilmiah Hadits (KTIH) Umum Putra;24
Karya Tulis Ilmiah Hadits (KTIH);Umum;Putri;Karya Tulis Ilmiah Hadits (KTIH) Umum Putri;24
Khutbah Jum'at & Adzan;Khatib + Mu'adzin;Putra;Khutbah Jum'at & Adzan Khatib + Mu'adzin Putra;20
Kitab Standar;Umum;Putra;Kitab Standar Umum Putra;24
Kitab Standar;Umum;Putri;Kitab Standar Umum Putri;24
Musabaqah Hafalan Hadits Nabi;100 Hadits dengan Sanad;Putra;Musabaqah Hafalan Hadits Nabi 100 Hadits dengan Sanad Putra;23
Musabaqah Hafalan Hadits Nabi;100 Hadits dengan Sanad;Putri;Musabaqah Hafalan Hadits Nabi 100 Hadits dengan Sanad Putri;23
Musabaqah Hafalan Hadits Nabi;500 Hadits tanpa Sanad;Putra;Musabaqah Hafalan Hadits Nabi 500 Hadits tanpa Sanad Putra;23
Musabaqah Hafalan Hadits Nabi;500 Hadits tanpa Sanad;Putri;Musabaqah Hafalan Hadits Nabi 500 Hadits tanpa Sanad Putri;23
Qiraat Al Qur'an;Mujawwad Dewasa;Putra;Qiraat Al Qur'an Mujawwad Dewasa Putra;40
Qiraat Al Qur'an;Mujawwad Dewasa;Putri;Qiraat Al Qur'an Mujawwad Dewasa Putri;40
Qiraat Al Qur'an;Murattal Dewasa;Putra;Qiraat Al Qur'an Murattal Dewasa Putra;40
Qiraat Al Qur'an;Murattal Dewasa;Putri;Qiraat Al Qur'an Murattal Dewasa Putri;40
Qiraat Al Qur'an;Murattal Remaja;Putra;Qiraat Al Qur'an Murattal Remaja Putra;24
Qiraat Al Qur'an;Murattal Remaja;Putri;Qiraat Al Qur'an Murattal Remaja Putri;24
Seni Baca Al Qur'an (Tilawah);Anak-anak;Putra;Seni Baca Al Qur'an (Tilawah) Anak-anak Putra;14
Seni Baca Al Qur'an (Tilawah);Anak-anak;Putri;Seni Baca Al Qur'an (Tilawah) Anak-anak Putri;14
Seni Baca Al Qur'an (Tilawah);Cacat Netra;Putra;Seni Baca Al Qur'an (Tilawah) Cacat Netra Putra;49
Seni Baca Al Qur'an (Tilawah);Cacat Netra;Putri;Seni Baca Al Qur'an (Tilawah) Cacat Netra Putri;49
Seni Baca Al Qur'an (Tilawah);Dewasa;Putra;Seni Baca Al Qur'an (Tilawah) Dewasa Putra;40
Seni Baca Al Qur'an (Tilawah);Dewasa;Putri;Seni Baca Al Qur'an (Tilawah) Dewasa Putri;40
Seni Baca Al Qur'an (Tilawah);Remaja;Putra;Seni Baca Al Qur'an (Tilawah) Remaja Putra;24
Seni Baca Al Qur'an (Tilawah);Remaja;Putri;Seni Baca Al Qur'an (Tilawah) Remaja Putri;24
Seni Baca Al Qur'an (Tilawah);Taman Kanak-Kanak;Putra;Seni Baca Al Qur'an (Tilawah) Taman Kanak-Kanak Putra;8
Seni Baca Al Qur'an (Tilawah);Taman Kanak-Kanak;Putri;Seni Baca Al Qur'an (Tilawah) Taman Kanak-Kanak Putri;8
Seni Kaligrafi Al Qur'an;Dekorasi;Putra;Seni Kaligrafi Al Qur'an Dekorasi Putra;34
Seni Kaligrafi Al Qur'an;Dekorasi;Putri;Seni Kaligrafi Al Qur'an Dekorasi Putri;34
Seni Kaligrafi Al Qur'an;Digital;Putra;Seni Kaligrafi Al Qur'an Digital Putra;34
Seni Kaligrafi Al Qur'an;Digital;Putri;Seni Kaligrafi Al Qur'an Digital Putri;34
Seni Kaligrafi Al Qur'an;Hiasan Mushaf;Putra;Seni Kaligrafi Al Qur'an Hiasan Mushaf Putra;34
Seni Kaligrafi Al Qur'an;Hiasan Mushaf;Putri;Seni Kaligrafi Al Qur'an Hiasan Mushaf Putri;34
Seni Kaligrafi Al Qur'an;Kontemporer;Putra;Seni Kaligrafi Al Qur'an Kontemporer Putra;34
Seni Kaligrafi Al Qur'an;Kontemporer;Putri;Seni Kaligrafi Al Qur'an Kontemporer Putri;34
Seni Kaligrafi Al Qur'an;Naskah;Putra;Seni Kaligrafi Al Qur'an Naskah Putra;34
Seni Kaligrafi Al Qur'an;Naskah;Putri;Seni Kaligrafi Al Qur'an Naskah Putri;34
Syarhil Qur'an;Beregu;Putra;Syarhil Qur'an Beregu Putra;18
Syarhil Qur'an;Beregu;Putri;Syarhil Qur'an Beregu Putri;18
Tafsir Al Qur'an;Bahasa Arab;Putra;Tafsir Al Qur'an Bahasa Arab Putra;22
Tafsir Al Qur'an;Bahasa Arab;Putri;Tafsir Al Qur'an Bahasa Arab Putri;22
Tafsir Al Qur'an;Bahasa Indonesia;Putra;Tafsir Al Qur'an Bahasa Indonesia Putra;34
Tafsir Al Qur'an;Bahasa Indonesia;Putri;Tafsir Al Qur'an Bahasa Indonesia Putri;34
Tafsir Al Qur'an;Bahasa Inggris;Putra;Tafsir Al Qur'an Bahasa Inggris Putra;34
Tafsir Al Qur'an;Bahasa Inggris;Putri;Tafsir Al Qur'an Bahasa Inggris Putri;34
Tartil Al Qur'an;Dasar;Putra;Tartil Al Qur'an Dasar Putra;12
Tartil Al Qur'an;Dasar;Putri;Tartil Al Qur'an Dasar Putri;12
Tartil Al Qur'an;Menengah;Putra;Tartil Al Qur'an Menengah Putra;20
Tartil Al Qur'an;Menengah;Putri;Tartil Al Qur'an Menengah Putri;20
Tartil Al Qur'an;Umum;Putra;Tartil Al Qur'an Umum Putra;27
Tartil Al Qur'an;Umum;Putri;Tartil Al Qur'an Umum Putri;27
Tartil Al Qur'an Eksekutif (Eselon II);Eksekutif Eselon II;Putra;Tartil Al Qur'an Eksekutif (Eselon II) Eksekutif Eselon II Putra;
Tartil Al Qur'an Eksekutif (Eselon II);Eksekutif Eselon II;Putri;Tartil Al Qur'an Eksekutif (Eselon II) Eksekutif Eselon II Putri;
